epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,3.1798741267277646,1.5566607046127319,1.5566607046127319,True,0,False
2,2.8326525203474273,1.4588880813121796,1.4588880813121796,True,0,False
3,2.725206874229096,1.2174248969554902,1.2174248969554902,True,0,False
4,2.5284700511576057,1.2829449129104615,1.2174248969554902,False,1,False
5,2.509630995792347,1.2680924463272094,1.2174248969554902,False,2,False
6,2.402133585332514,1.1712190520763397,1.1712190520763397,True,0,False
7,2.415404127194331,1.0064647936820983,1.0064647936820983,True,0,False
8,2.4066877522311367,1.2433292990922928,1.0064647936820983,False,1,False
9,2.3476605310544865,0.9621790677309037,0.9621790677309037,True,0,False
10,2.2862740453782973,0.9040879827737808,0.9040879827737808,True,0,False
11,2.2825529352649228,0.9720303893089295,0.9040879827737808,False,1,False
12,2.3046759904085934,0.8699023801088334,0.8699023801088334,True,0,False
13,2.2701475672669464,0.9478914797306061,0.8699023801088334,False,1,False
14,2.254748373241215,0.8336624214053154,0.8336624214053154,True,0,False
15,2.260730347790561,0.8077650952339173,0.8077650952339173,True,0,False
16,2.2340734633770616,0.859054499566555,0.8077650952339173,False,1,False
17,2.2415968219002527,0.8877579194307327,0.8077650952339173,False,2,False
18,2.188492943952372,0.9156973922252655,0.8077650952339173,False,3,False
19,2.1977914493162554,0.7486706346273422,0.7486706346273422,True,0,False
20,2.24213821547372,0.8127334296703339,0.7486706346273422,False,1,False
21,2.137671450992207,0.9177125573158265,0.7486706346273422,False,2,False
22,2.134247654086941,0.9357943350076675,0.7486706346273422,False,3,False
23,2.1729060070855275,0.8145945477485657,0.7486706346273422,False,4,False
24,2.145140991106138,0.9530381786823273,0.7486706346273422,False,5,False
25,2.1239908658541164,0.946472173333168,0.7486706346273422,False,6,False
26,2.170626984847771,0.8696549862623215,0.7486706346273422,False,7,False
27,2.110045972761217,0.6968690463900566,0.6968690463900566,True,0,False
28,2.1421760228964,0.9395226603746414,0.6968690463900566,False,1,False
29,2.0957801944606906,0.8666044747829438,0.6968690463900566,False,2,False
30,2.09203104527442,0.8197798269987107,0.6968690463900566,False,3,False
31,2.060429844227466,0.8229241180419922,0.6968690463900566,False,4,False
32,2.102253650570964,0.7718221455812454,0.6968690463900566,False,5,False
33,2.1039652824401855,0.848753662109375,0.6968690463900566,False,6,False
34,2.1043467888465295,0.6694912520051003,0.6694912520051003,True,0,False
35,2.067483275801271,0.8970396387577056,0.6694912520051003,False,1,False
36,2.0410806896922353,0.7790797364711761,0.6694912520051003,False,2,False
37,2.08304186967703,0.7489995893836021,0.6694912520051003,False,3,False
38,2.0633872773621107,0.8247130188345909,0.6694912520051003,False,4,False
39,2.0689742381756124,0.744614263176918,0.6694912520051003,False,5,False
40,2.031686784146906,0.8170486506819725,0.6694912520051003,False,6,False
41,2.067402406053229,0.8127246901392937,0.6694912520051003,False,7,False
42,2.0561101541414364,0.8233742648363114,0.6694912520051003,False,8,False
43,2.0675969320339163,0.8094172090291977,0.6694912520051003,False,9,False
44,2.0506918823326026,0.7426453179121018,0.6694912520051003,False,10,True
