epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,1.6251929083817618,2.679952910721302,2.679952910721302,True,0,False
2,1.5793110036890852,2.6435932260155677,2.6435932260155677,True,0,False
3,1.5666864426688414,2.7452922012209893,2.6435932260155677,False,1,False
4,1.5624601388938164,2.668569757580757,2.6435932260155677,False,2,False
5,1.5583009885173786,2.624266781270504,2.624266781270504,True,0,False
6,1.5548393800289,2.6320945974588392,2.624266781270504,False,1,False
7,1.5528226020565052,2.6357559773921966,2.624266781270504,False,2,False
8,1.551744154284697,2.702624178826809,2.624266781270504,False,3,False
9,1.5509937301281764,2.652118235528469,2.624266781270504,False,4,False
10,1.5489154879570357,2.6424404569268227,2.624266781270504,False,5,False
11,1.5481755756263256,2.6670989545583725,2.624266781270504,False,6,False
12,1.5476406048741551,2.6578275722265245,2.624266781270504,False,7,False
13,1.546453611496877,2.6535396944880487,2.624266781270504,False,8,False
14,1.5458633631664895,2.689386450648308,2.624266781270504,False,9,False
15,1.545382481454314,2.660056777894497,2.624266781270504,False,10,True
