epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,1.6336892992258072,2.6634270512759683,2.6634270512759683,True,0,False
2,1.6082474258259585,2.6619599747657774,2.6619599747657774,True,0,False
3,1.589317574582496,2.633179931819439,2.633179931819439,True,0,False
4,1.5837154513315743,2.6828469534516333,2.633179931819439,False,1,False
5,1.5794171111317439,2.7337505812644958,2.633179931819439,False,2,False
6,1.5752388341824506,2.6396330572366713,2.633179931819439,False,3,False
7,1.5708739199154873,2.6501652503013613,2.633179931819439,False,4,False
8,1.5678251234523928,2.6332344074249265,2.633179931819439,False,5,False
9,1.5676504096585164,2.712277866363525,2.633179931819439,False,6,False
10,1.5649210372859872,2.6049202353358267,2.6049202353358267,True,0,False
11,1.5636627965556795,2.6798168929815294,2.6049202353358267,False,1,False
12,1.5621590688696918,2.606761923611164,2.6049202353358267,False,2,False
13,1.5611504223558093,2.6700420103669167,2.6049202353358267,False,3,False
14,1.5603652595488313,2.6288324813842774,2.6049202353358267,False,4,False
15,1.5598378674075384,2.633144406080246,2.6049202353358267,False,5,False
16,1.5585054694774132,2.6466109942793845,2.6049202353358267,False,6,False
17,1.558878245217643,2.6684414915442467,2.6049202353358267,False,7,False
18,1.5580245068617495,2.6408095620274543,2.6049202353358267,False,8,False
19,1.5575091129945768,2.6586705260276795,2.6049202353358267,False,9,False
20,1.557083842197003,2.660064541697502,2.6049202353358267,False,10,True
