epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,1.614039744936366,2.630722011089325,2.630722011089325,True,0,False
2,1.5739059140365146,2.6594461218714716,2.630722011089325,False,1,False
3,1.5664898976373405,2.6428210753798487,2.630722011089325,False,2,False
4,1.5626655977685575,2.6206687293052675,2.6206687293052675,True,0,False
5,1.5599512418797283,2.6560605620741846,2.6206687293052675,False,1,False
6,1.5588477063917687,2.641953322827816,2.6206687293052675,False,2,False
7,1.556416334480799,2.6702244807481765,2.6206687293052675,False,3,False
8,1.5549470508343852,2.678966730475426,2.6206687293052675,False,4,False
9,1.5536035317767931,2.6352763527035714,2.6206687293052675,False,5,False
10,1.5522019316497282,2.6396720826625826,2.6206687293052675,False,6,False
11,1.5520894262331126,2.6525626719594,2.6206687293052675,False,7,False
12,1.5507427937634692,2.6006531483531,2.6006531483531,True,0,False
13,1.5502027054423362,2.6452965581417085,2.6006531483531,False,1,False
14,1.5492422732102822,2.6126794753074645,2.6006531483531,False,2,False
15,1.548806425799875,2.682569659590721,2.6006531483531,False,3,False
16,1.54820554274833,2.6339048729538916,2.6006531483531,False,4,False
17,1.5478300447268956,2.6571137582063673,2.6006531483531,False,5,False
18,1.5469526583778195,2.614794415771961,2.6006531483531,False,6,False
19,1.5467449489496456,2.6427359798550607,2.6006531483531,False,7,False
20,1.547100302082868,2.6537744891047477,2.6006531483531,False,8,False
21,1.5456495421746768,2.6612173899412155,2.6006531483531,False,9,False
22,1.5450723983407633,2.618676859796047,2.6006531483531,False,10,True
