epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,3.132721341573275,1.4667359042167663,1.4667359042167663,True,0,False
2,2.787514512355511,1.471916116476059,1.4667359042167663,False,1,False
3,2.6812456937936635,1.3584984350204468,1.3584984350204468,True,0,False
4,2.5570318528584073,1.2156571388244628,1.2156571388244628,True,0,False
5,2.540887477633717,1.3654631567001343,1.2156571388244628,False,1,False
6,2.4326137396005483,1.1948962169885635,1.1948962169885635,True,0,False
7,2.4345987878002964,1.121652317047119,1.121652317047119,True,0,False
8,2.4105284096120476,1.1390751618146897,1.121652317047119,False,1,False
9,2.4040493938949083,1.2258525419235229,1.121652317047119,False,2,False
10,2.3256010590018805,1.1688571619987487,1.121652317047119,False,3,False
11,2.3479104199252285,1.078611771464348,1.078611771464348,True,0,False
12,2.3217956574408563,1.131880203485489,1.078611771464348,False,1,False
13,2.274423909711314,1.1324168628454208,1.078611771464348,False,2,False
14,2.282815689568991,1.2016099166870118,1.078611771464348,False,3,False
15,2.30792882678273,1.129835805296898,1.078611771464348,False,4,False
16,2.2876750427288015,1.2549154305458068,1.078611771464348,False,5,False
17,2.277696976294884,1.03041827917099,1.03041827917099,True,0,False
18,2.216014788700984,1.175439143180847,1.03041827917099,False,1,False
19,2.227350430174188,1.084323689341545,1.03041827917099,False,2,False
20,2.2259553435084585,1.013580768108368,1.013580768108368,True,0,False
21,2.198064046901661,0.9708270043134689,0.9708270043134689,True,0,False
22,2.1968760975114594,1.0404144108295441,0.9708270043134689,False,1,False
23,2.2334416017427547,0.9683452844619751,0.9683452844619751,True,0,False
24,2.153359604405833,1.038813738822937,0.9683452844619751,False,1,False
25,2.163905150287754,1.2084758806228637,0.9683452844619751,False,2,False
26,2.192763307592371,0.9192559260129929,0.9192559260129929,True,0,False
27,2.1603748628071378,1.007781795859337,0.9192559260129929,False,1,False
28,2.18288953094692,1.1170098292827606,0.9192559260129929,False,2,False
29,2.13980739064269,0.8996134144067764,0.8996134144067764,True,0,False
30,2.1295376243172113,1.04806973695755,0.8996134144067764,False,1,False
31,2.1222457885742188,1.0257965403795242,0.8996134144067764,False,2,False
32,2.1259430397997847,0.9506767112016677,0.8996134144067764,False,3,False
33,2.1470181732387332,0.9187080353498459,0.8996134144067764,False,4,False
34,2.1664961248963746,1.0229745316505432,0.8996134144067764,False,5,False
35,2.1231511267986924,1.0235332185029984,0.8996134144067764,False,6,False
36,2.080723742862324,0.9410132372379303,0.8996134144067764,False,7,False
37,2.126670005557301,0.9936317783594132,0.8996134144067764,False,8,False
38,2.1255461200252994,1.2476422607898712,0.8996134144067764,False,9,False
39,2.118683465234526,0.9079685705900192,0.8996134144067764,False,10,True
